Bellerophon and Pegasus,Myth,,,"Bellerophon,Pegasus,Chimera,Athena",Corinth,,,
Leda and the Swan,Myth,,,"Leda,Zeus",Sparta,,,
Sisyphus,Myth,,,"Sisyphus,Zeus,Thanatos",Corinth,The Odyssey,,
The Apple of Discord,Myth,,,"Eris,Zeus,Hera,Athena,Aphrodite,Paris",Troy,The Iliad,,
Niobe,Myth,,,"Niobe,Amphion,Artemis,Apollo",Thebes,"The Odyssey,The Iliad",,
Arion,Myth,,,"Arion,Poseidon",Corinth,The Iliad,,
Apollo and Daphne,Sculpture,Gian Lorenzo Bernini,1625,,"Galleria Borghese, Rome, Italy",,Marble,https://borghese.gallery/collection/sculpture/apollo-and-daphne.html
The Death of Socrates,Painting,Jacques-Louis David,1787,,"Metropolitan Museum of Art, New York City, USA",,Oil on canvas,https://www.metmuseum.org/art/collection/search/436105
The Fury of Athamas,Sculpture,John Flaxman,1790,,"Tate Britain, London, UK",,marble,
Proserpine,Painting,Dante Gabriel Rossetti,1874,,"Tate Britain, London, UK",,Oil on canvas,
The Burning of Troy,Painting,Johann Georg Trautmann,,,,,,https://freies-deutsches-hochstift.de/en/mediaguide/goethe-house/gaerten/gartensaal/johann-georg-trautmann-der-brand-von-troja/
The Lament for Icarus,Painting,Herbert James Draper,1898,,"Lady Lever Art Gallery, Port Sunlight, UK",,Oil on canvas,https://www.tate.org.uk/art/artworks/draper-the-lament-for-icarus-n01679
The Sirens,Painting,Edward Armitage,,,,,,https://artuk.org/discover/artworks/the-siren-37531
The Golden Apple of Discord,Painting,Jacob Jerdaens,1633,,"Louvre Museum, Paris, France",,Oil on canvas,https://www.worldhistory.org/image/16515/golden-apple-of-discord/
The Judgment of Paris,Painting,Peter Paul Rubens,1635,,"National Gallery of Art, Washington, D.C., USA",,Oil on canvas,https://www.nationalgallery.org.uk/paintings/peter-paul-rubens-the-judgement-of-paris
The Return of Persephone,Painting,Frederic Leighton,1891,,"Leeds Art Gallery, Leeds, UK",,Oil on canvas,https://www.metmuseum.org/art/collection/search/847023
The Punishment of Tityos,Drawing,Buonarroti,1549,,"Museo del Prado, Madrid, Spain",,Oil on canvas,https://www.rct.uk/collection/912771/the-punishment-of-tityus
The Chimera of Arezzo,Sculpture,,400 BCE,,"Archaelogical Museum of Florence, Italy",,Bronze,https://smarthistory.org/chimera-of-arezzo/
The Battle of the Gods and Titans,Painting,Joachim Wtewael,1610,,"Centraal Museum, Utrecht, Netherlands",,Oil on canvas,https://smarthistory.org/chimera-of-arezzo/
The Wedding of Peleus and Thetis,Painting,Peter Paul Rubens,1638,,"The State Hermitage Museum, St. Petersburg, Russia",,Oil on canvas,https://www.artic.edu/artworks/59956/the-wedding-of-peleus-and-thetis
Winged Victory of Samothrace,Sculpture,,190 BCE,,"Louvre Museum, Paris, France",,Marble,https://www.louvre.fr/en/explore/the-palace/a-stairway-to-victory
The Rape of Proserpina,Print,Rosaspina,1622,,"Galleria Borghese, Rome, Italy",,Marble,https://www.metmuseum.org/art/collection/search/362021
The Death of Actaeon,Painting,Titian,1575,,"National Gallery, London, UK",,Oil on canvas,https://www.nationalgallery.org.uk/paintings/titian-the-death-of-actaeon
Perseus and Andromeda,Painting,Frederic Leighton,1891,,"Walker Art Gallery, Liverpool, UK",,Oil on canvas,https://www.liverpoolmuseums.org.uk/artifact/perseus-and-andromeda
The Titan's Goblet,Painting,Thomas Cole,1833,,"Toledo Museum of Art, Toledo, Ohio, USA",,Oil on canvas,https://www.metmuseum.org/art/collection/search/10499
Diana of Versailles,Sculpture,,,,"Louvre Museum, Paris, France",,Marble,https://museum.classics.cam.ac.uk/collections/casts/diana-versailles
The Farnese Hercules,Sculpture,,,,"National Archaeological Museum, Naples, Italy",,Marble,https://www.classics.cam.ac.uk/museum/collections/museum-highlights/farnese-hercules
The Parthenon,Architecture,,438 BCE,,"Tennessee, USA",,,https://www.nashvilleparthenon.com/
The Death of Achilles,Painting,Peter Paul Rubens,1635,,"Prado Museum, Madrid, Spain",,Oil on canvas,https://artuk.org/discover/artworks/death-of-achilles-207437
The Artemision Bronze,Sculpture,,450 BCE,,"National Archaeological Museum, Athens, Greece",,Bronze,https://www.worldhistory.org/image/776/the-artemision-bronze/
The Apotheosis of Homer,Painting,Jean-Auguste-Dominique Ingres,1827,,"Louvre Museum, Paris, France",,Oil on canvas,https://smarthistory.org/ingres-apotheosis-of-homer/
The Medusa Shield,Painting,Paul Gauguin,1887,,"Ny Carlsberg Glyptotek, Copenhagen, Denmark",,Oil on canvas,
The Three Graces,Sculpture,Antonio Canova,1817,,"Hermitage Museum, St. Petersburg, Russia",,Marble,https://www.vam.ac.uk/articles/the-three-graces
The Getty Villa,Architecture,Norman Neuerburg,1974,,"California, USA",,,https://www.getty.edu/visit/villa/
